reactionId	solver	compartment	r ; p	ratelaw	parameter1	parameter2	parameter3	parameter4	parameter5	parameter6	parameter7	parameter8
vR85	Deterministic	Cytoplasm	cyt_prot_PDGFB__PDGFRB__PDGFB__PDGFRB_ ; ext_prot_PDGFB_ + cyt_prot_PDGFB__PDGFRB__PDGFRB_	2.00E+00								
vR86	Deterministic	Cytoplasm	cyt_prot_PDGFB__PDGFRB__PDGFRB_ ; cyt_prot_PDGFRB_ + cyt_prot_PDGFB__PDGFRB_	1.00E-03								
vR87	Deterministic	Cytoplasm	ext_prot_FGF_ + cyt_prot_FGFR_ ; cyt_prot_FGF__FGFR_	1.00E-03								
vR88	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR_ ; ext_prot_FGF_ + cyt_prot_FGFR_	2.00E-05								
vR89	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR_ + cyt_prot_FGF__FGFR_ ; cyt_prot_FGF__FGFR__FGF__FGFR_	1.00E-02								
vR90	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR__FGF__FGFR_ ; cyt_prot_FGF__FGFR_ + cyt_prot_FGF__FGFR_	1.00E-03								
vR91	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR__FGF__FGFR_ ; ext_prot_FGF_ + cyt_prot_FGF__FGFR__FGFR_	4.00E-03								
vR92	Deterministic	Cytoplasm	ext_prot_FGF_ + cyt_prot_FGF__FGFR__FGFR_ ; cyt_prot_FGF__FGFR__FGF__FGFR_	1.00E-03								
vR93	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR__FGFR_ ; cyt_prot_FGFR_ + cyt_prot_FGF__FGFR_	1.00E-03								
vR94	Deterministic	Cytoplasm	cyt_prot_FGFR_ + cyt_prot_FGF__FGFR_ ; cyt_prot_FGF__FGFR__FGFR_	1.00E-02								
vR95	Deterministic	Cytoplasm	cyt_prot_IGF1R_ + cyt_prot_IGF1R_ ; cyt_prot_IGF1R__IGF1R_	1.00E-02								
vR96	Deterministic	Cytoplasm	cyt_prot_IGF1R__IGF1R_ ; cyt_prot_IGF1R_ + cyt_prot_IGF1R_	0.00E+00								
vR97	Deterministic	Cytoplasm	cyt_prot_INSR_ + cyt_prot_INSR_ ; cyt_prot_INSR__INSR_	1.00E-02								
vR98	Deterministic	Cytoplasm	cyt_prot_INSR__INSR_ ; cyt_prot_INSR_ + cyt_prot_INSR_	0.00E+00								
vR99	Deterministic	Cytoplasm	cyt_prot_EGFR__p_p_MAPK_ ; cyt_prot_EGFR_ + cyt_prot_p_p_MAPK_	1.00E-01								
vR100	Deterministic	Cytoplasm	cyt_prot_EGFR__p_p_MAPK_ ; cyt_prot_p_EGFR_ + cyt_prot_p_p_MAPK_	1.00E+00								
vR101	Deterministic	Cytoplasm	cyt_prot_ERBB2__p_p_MAPK_ ; cyt_prot_ERBB2_ + cyt_prot_p_p_MAPK_	1.00E-01								
vR102	Deterministic	Cytoplasm	cyt_prot_ERBB2__p_p_MAPK_ ; cyt_prot_p_ERBB2_ + cyt_prot_p_p_MAPK_	1.00E+00								
vR103	Deterministic	Cytoplasm	cyt_prot_ERBB4__p_p_MAPK_ ; cyt_prot_ERBB4_ + cyt_prot_p_p_MAPK_	1.00E-01								
vR104	Deterministic	Cytoplasm	cyt_prot_ERBB4__p_p_MAPK_ ; cyt_prot_p_ERBB4_ + cyt_prot_p_p_MAPK_	1.00E+00								
vR105	Deterministic	Cytoplasm	cyt_prot_EGFR_ + cyt_prot_EGFR_ ; cyt_prot_EGFR__EGFR_	1.00E-03								
vR106	Deterministic	Cytoplasm	cyt_prot_EGFR__EGFR_ ; cyt_prot_EGFR_ + cyt_prot_EGFR_	1.00E+00								
vR107	Deterministic	Cytoplasm	cyt_prot_EGFR_ + cyt_prot_ERBB2_ ; cyt_prot_EGFR__ERBB2_	1.00E-03								
vR108	Deterministic	Cytoplasm	cyt_prot_EGFR__ERBB2_ ; cyt_prot_EGFR_ + cyt_prot_ERBB2_	1.00E+00								
vR109	Deterministic	Cytoplasm	cyt_prot_EGFR_ + cyt_prot_ERBB3_ ; cyt_prot_EGFR__ERBB3_	1.00E-03								
vR110	Deterministic	Cytoplasm	cyt_prot_EGFR__ERBB3_ ; cyt_prot_EGFR_ + cyt_prot_ERBB3_	1.00E+00								
vR111	Deterministic	Cytoplasm	cyt_prot_EGFR_ + cyt_prot_ERBB4_ ; cyt_prot_EGFR__ERBB4_	1.00E-03								
vR112	Deterministic	Cytoplasm	cyt_prot_EGFR__ERBB4_ ; cyt_prot_EGFR_ + cyt_prot_ERBB4_	1.00E+00								
vR113	Deterministic	Cytoplasm	cyt_prot_ERBB2_ + cyt_prot_ERBB2_ ; cyt_prot_ERBB2__ERBB2_	1.00E-03								
vR114	Deterministic	Cytoplasm	cyt_prot_ERBB2__ERBB2_ ; cyt_prot_ERBB2_ + cyt_prot_ERBB2_	1.00E+00								
vR115	Deterministic	Cytoplasm	cyt_prot_ERBB2_ + cyt_prot_ERBB3_ ; cyt_prot_ERBB2__ERBB3_	1.00E-03								
vR116	Deterministic	Cytoplasm	cyt_prot_ERBB2__ERBB3_ ; cyt_prot_ERBB2_ + cyt_prot_ERBB3_	1.00E+00								
vR117	Deterministic	Cytoplasm	cyt_prot_ERBB2_ + cyt_prot_ERBB4_ ; cyt_prot_ERBB2__ERBB4_	1.00E-03								
vR118	Deterministic	Cytoplasm	cyt_prot_ERBB2__ERBB4_ ; cyt_prot_ERBB2_ + cyt_prot_ERBB4_	1.00E+00								
vR119	Deterministic	Cytoplasm	cyt_prot_ERBB3_ + cyt_prot_ERBB4_ ; cyt_prot_ERBB3__ERBB4_	1.00E-03								
vR120	Deterministic	Cytoplasm	cyt_prot_ERBB3__ERBB4_ ; cyt_prot_ERBB3_ + cyt_prot_ERBB4_	1.00E+00								
vR121	Deterministic	Cytoplasm	cyt_prot_ERBB4_ + cyt_prot_ERBB4_ ; cyt_prot_ERBB4__ERBB4_	1.00E-03								
vR122	Deterministic	Cytoplasm	cyt_prot_ERBB4__ERBB4_ ; cyt_prot_ERBB4_ + cyt_prot_ERBB4_	1.00E+00								
vR123	Deterministic	Cytoplasm	ext_prot_EGF_ + cyt_prot_EGFR__EGFR_ ; cyt_prot_EGF__EGFR__EGFR_	2.00E-03								
vR124	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__EGFR_ ; ext_prot_EGF_ + cyt_prot_EGFR__EGFR_	1.00E-03								
vR125	Deterministic	Cytoplasm	ext_prot_EGF_ + cyt_prot_EGFR__ERBB2_ ; cyt_prot_EGF__EGFR__ERBB2_	1.00E-03								
vR126	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__ERBB2_ ; ext_prot_EGF_ + cyt_prot_EGFR__ERBB2_	1.00E-03								
vR127	Deterministic	Cytoplasm	ext_prot_EGF_ + cyt_prot_EGFR__ERBB3_ ; cyt_prot_EGF__EGFR__ERBB3_	1.00E-03								
vR128	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__ERBB3_ ; ext_prot_EGF_ + cyt_prot_EGFR__ERBB3_	1.00E-03								
vR129	Deterministic	Cytoplasm	ext_prot_NRG1_ + cyt_prot_EGFR__ERBB3_ ; cyt_prot_EGFR__NRG1__ERBB3_	1.00E-03								
vR130	Deterministic	Cytoplasm	cyt_prot_EGFR__NRG1__ERBB3_ ; ext_prot_NRG1_ + cyt_prot_EGFR__ERBB3_	1.00E-03								
vR131	Deterministic	Cytoplasm	ext_prot_EGF_ + cyt_prot_EGFR__ERBB4_ ; cyt_prot_EGF__EGFR__ERBB4_	1.00E-03								
vR132	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__ERBB4_ ; ext_prot_EGF_ + cyt_prot_EGFR__ERBB4_	1.00E-03								
vR133	Deterministic	Cytoplasm	ext_prot_NRG1_ + cyt_prot_EGFR__ERBB4_ ; cyt_prot_EGFR__NRG1__ERBB4_	1.00E-03								
vR134	Deterministic	Cytoplasm	cyt_prot_EGFR__NRG1__ERBB4_ ; ext_prot_NRG1_ + cyt_prot_EGFR__ERBB4_	1.00E-03								
vR135	Deterministic	Cytoplasm	ext_prot_NRG1_ + cyt_prot_ERBB2__ERBB3_ ; cyt_prot_ERBB2__NRG1__ERBB3_	1.00E-03								
vR136	Deterministic	Cytoplasm	cyt_prot_ERBB2__NRG1__ERBB3_ ; ext_prot_NRG1_ + cyt_prot_ERBB2__ERBB3_	1.00E-03								
vR137	Deterministic	Cytoplasm	ext_prot_NRG1_ + cyt_prot_ERBB2__ERBB4_ ; cyt_prot_ERBB2__NRG1__ERBB4_	1.00E-03								
vR138	Deterministic	Cytoplasm	cyt_prot_ERBB2__NRG1__ERBB4_ ; ext_prot_NRG1_ + cyt_prot_ERBB2__ERBB4_	1.00E-03								
vR139	Deterministic	Cytoplasm	ext_prot_NRG1_ + cyt_prot_ERBB3__ERBB4_ ; cyt_prot_ERBB3__NRG1__ERBB4_	2.00E-03								
vR140	Deterministic	Cytoplasm	cyt_prot_ERBB3__NRG1__ERBB4_ ; ext_prot_NRG1_ + cyt_prot_ERBB3__ERBB4_	1.00E-03								
vR141	Deterministic	Cytoplasm	ext_prot_NRG1_ + cyt_prot_ERBB4__ERBB4_ ; cyt_prot_NRG1__ERBB4__ERBB4_	2.00E-03								
vR142	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB4__ERBB4_ ; ext_prot_NRG1_ + cyt_prot_ERBB4__ERBB4_	1.00E-03								
vR143	Deterministic	Cytoplasm	cyt_prot_MET_ + cyt_prot_MET_ ; cyt_prot_MET__MET_	1.00E-03								
vR144	Deterministic	Cytoplasm	cyt_prot_MET__MET_ ; cyt_prot_MET_ + cyt_prot_MET_	1.00E+00								
vR145	Deterministic	Cytoplasm	ext_prot_HGF_ + cyt_prot_MET__MET_ ; cyt_prot_HGF__MET__MET_	1.00E-01								
vR146	Deterministic	Cytoplasm	cyt_prot_HGF__MET__MET_ ; ext_prot_HGF_ + cyt_prot_MET__MET_	1.60E-03								
vR147	Deterministic	Cytoplasm	cyt_prot_FGFR_ + cyt_prot_FGFR_ ; cyt_prot_FGFR__FGFR_	1.00E-03								
vR148	Deterministic	Cytoplasm	cyt_prot_FGFR__FGFR_ ; cyt_prot_FGFR_ + cyt_prot_FGFR_	1.00E+00								
vR149	Deterministic	Cytoplasm	ext_prot_FGF_ + cyt_prot_FGFR__FGFR_ ; cyt_prot_FGF__FGFR__FGFR_	2.00E-03								
vR150	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR__FGFR_ ; ext_prot_FGF_ + cyt_prot_FGFR__FGFR_	2.00E-05								
vR151	Deterministic	Cytoplasm	ext_prot_IGF_ + cyt_prot_IGF1R__IGF1R_ ; cyt_prot_IGF__IGF1R__IGF1R_	3.47E-04								
vR152	Deterministic	Cytoplasm	cyt_prot_IGF__IGF1R__IGF1R_ ; ext_prot_IGF_ + cyt_prot_IGF1R__IGF1R_	3.12E-05								
vR153	Deterministic	Cytoplasm	ext_prot_IGF_ + cyt_prot_IGF__IGF1R__IGF1R_ ; cyt_prot_IGF__IGF1R__IGF__IGF1R_	3.47E-04								
vR154	Deterministic	Cytoplasm	cyt_prot_IGF__IGF1R__IGF__IGF1R_ ; ext_prot_IGF_ + cyt_prot_IGF__IGF1R__IGF1R_	3.10E-03								
vR155	Deterministic	Cytoplasm	ext_prot_INS_ + cyt_prot_INSR__INSR_ ; cyt_prot_INS__INSR__INSR_	9.80E-05								
vR156	Deterministic	Cytoplasm	cyt_prot_INS__INSR__INSR_ ; ext_prot_INS_ + cyt_prot_INSR__INSR_	3.10E-03								
vR157	Deterministic	Cytoplasm	ext_prot_INS_ + cyt_prot_INS__INSR__INSR_ ; cyt_prot_INS__INSR__INS__INSR_	5.58E-06								
vR158	Deterministic	Cytoplasm	cyt_prot_INS__INSR__INS__INSR_ ; ext_prot_INS_ + cyt_prot_INS__INSR__INSR_	1.00E-02								
vRP1_1	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__ERBB2_ ; cyt_prot_p_EGF__EGFR__ERBB2_	1.00E+00								
vRP1_2	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__EGFRvIII_ ; cyt_prot_p_EGF__EGFR__EGFRvIII_	1.00E+00								
vRP1_3	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__EGFR_ ; cyt_prot_p_EGF__EGFR__EGFR_	1.00E+00								
vRP1_4	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__EGF__EGFR_ ; cyt_prot_p_EGF__EGFR__EGF__EGFR_	1.00E+00								
vRP1_5	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__ERBB3_ ; cyt_prot_p_EGF__EGFR__ERBB3_	1.00E+00								
vRP1_6	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__NRG1__ERBB3_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB3_	1.00E+00								
vRP1_7	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__ERBB4_ ; cyt_prot_p_EGF__EGFR__ERBB4_	1.00E+00								
vRP1_8	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__NRG1__ERBB4_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB4_	1.00E+00								
vRP1_9	Deterministic	Cytoplasm	cyt_prot_ERBB2__NRG1__ERBB3_ ; cyt_prot_p_ERBB2__NRG1__ERBB3_	1.00E+00								
vRP1_10	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB3__EGFRvIII_ ; cyt_prot_p_NRG1__ERBB3__EGFRvIII_	1.00E+00								
vRP1_11	Deterministic	Cytoplasm	cyt_prot_EGFR__NRG1__ERBB3_ ; cyt_prot_p_EGFR__NRG1__ERBB3_	1.00E+00								
vRP1_12	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB3__ERBB4_ ; cyt_prot_p_NRG1__ERBB3__ERBB4_	1.00E+00								
vRP1_13	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB3__NRG1__ERBB4_ ; cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4_	1.00E+00								
vRP1_14	Deterministic	Cytoplasm	cyt_prot_ERBB2__NRG1__ERBB4_ ; cyt_prot_p_ERBB2__NRG1__ERBB4_	1.00E+00								
vRP1_15	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB4__EGFRvIII_ ; cyt_prot_p_NRG1__ERBB4__EGFRvIII_	1.00E+00								
vRP1_16	Deterministic	Cytoplasm	cyt_prot_EGFR__NRG1__ERBB4_ ; cyt_prot_p_EGFR__NRG1__ERBB4_	1.00E+00								
vRP1_17	Deterministic	Cytoplasm	cyt_prot_ERBB3__NRG1__ERBB4_ ; cyt_prot_p_ERBB3__NRG1__ERBB4_	1.00E+00								
vRP1_18	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB4__ERBB4_ ; cyt_prot_p_NRG1__ERBB4__ERBB4_	1.00E+00								
vRP1_19	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB4__NRG1__ERBB4_ ; cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4_	1.00E+00								
vRP1_20	Deterministic	Cytoplasm	cyt_prot_HGF__MET__MET_ ; cyt_prot_p_HGF__MET__MET_	1.00E+00								
vRP1_21	Deterministic	Cytoplasm	cyt_prot_HGF__MET__HGF__MET_ ; cyt_prot_p_HGF__MET__HGF__MET_	1.00E+00								
vRP1_22	Deterministic	Cytoplasm	cyt_prot_PDGFB__PDGFRB__PDGFB__PDGFRB_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFB_	1.00E+00								
vRP1_23	Deterministic	Cytoplasm	cyt_prot_PDGFB__PDGFRB__PDGFRB_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFRB_	1.00E+00								
vRP1_24	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR__FGF__FGFR_ ; cyt_prot_p_FGF__FGFR__FGF__FGFR_	1.00E+00								
vRP1_25	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR__FGFR_ ; cyt_prot_pFGF__FGFR__FGFR_	1.00E+00								
vRP1_26	Deterministic	Cytoplasm	cyt_prot_IGF__IGF1R__IGF1R_ ; cyt_prot_p_IGF__IGF1R__IGF1R_	1.00E+00								
vRP1_27	Deterministic	Cytoplasm	cyt_prot_INS__INSR__INSR_ ; cyt_prot_p_INS__INSR__INSR_	1.00E+00								
vRP1_28	Deterministic	Cytoplasm	cyt_prot_IGF__IGF1R__IGF__IGF1R_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IGF_	1.00E+00								
vRP1_29	Deterministic	Cytoplasm	cyt_prot_INS__INSR__INS__INSR_ ; cyt_prot_p_INS__INSR__INSR__INS_	1.00E+00								
vRP2_1	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB2_ ; cyt_prot_EGF__EGFR__ERBB2_	1.00E+00								
vRP2_2	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFRvIII_ ; cyt_prot_EGF__EGFR__EGFRvIII_	1.00E+00								
vRP2_3	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFR_ ; cyt_prot_EGF__EGFR__EGFR_	1.00E+00								
vRP2_4	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGF__EGFR_ ; cyt_prot_EGF__EGFR__EGF__EGFR_	1.00E+00								
vRP2_5	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB3_ ; cyt_prot_EGF__EGFR__ERBB3_	1.00E+00								
vRP2_6	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB3_ ; cyt_prot_EGF__EGFR__NRG1__ERBB3_	1.00E+00								
vRP2_7	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB4_ ; cyt_prot_EGF__EGFR__ERBB4_	1.00E+00								
vRP2_8	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB4_ ; cyt_prot_EGF__EGFR__NRG1__ERBB4_	1.00E+00								
vRP2_9	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB3_ ; cyt_prot_ERBB2__NRG1__ERBB3_	1.00E+00								
vRP2_10	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__EGFRvIII_ ; cyt_prot_NRG1__ERBB3__EGFRvIII_	1.00E+00								
vRP2_11	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB3_ ; cyt_prot_EGFR__NRG1__ERBB3_	1.00E+00								
vRP2_12	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__ERBB4_ ; cyt_prot_NRG1__ERBB3__ERBB4_	1.00E+00								
vRP2_13	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4_ ; cyt_prot_NRG1__ERBB3__NRG1__ERBB4_	1.00E+00								
vRP2_14	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB4_ ; cyt_prot_ERBB2__NRG1__ERBB4_	1.00E+00								
vRP2_15	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__EGFRvIII_ ; cyt_prot_NRG1__ERBB4__EGFRvIII_	1.00E+00								
vRP2_16	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB4_ ; cyt_prot_EGFR__NRG1__ERBB4_	1.00E+00								
vRP2_17	Deterministic	Cytoplasm	cyt_prot_p_ERBB3__NRG1__ERBB4_ ; cyt_prot_ERBB3__NRG1__ERBB4_	1.00E+00								
vRP2_18	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__ERBB4_ ; cyt_prot_NRG1__ERBB4__ERBB4_	1.00E+00								
vRP2_19	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4_ ; cyt_prot_NRG1__ERBB4__NRG1__ERBB4_	1.00E+00								
vRP2_20	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__MET_ ; cyt_prot_HGF__MET__MET_	1.00E+00								
vRP2_21	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__HGF__MET_ ; cyt_prot_HGF__MET__HGF__MET_	1.00E+00								
vRP2_22	Deterministic	Cytoplasm	cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFB_ ; cyt_prot_PDGFB__PDGFRB__PDGFB__PDGFRB_	1.00E+00								
vRP2_23	Deterministic	Cytoplasm	cyt_prot_p_PDGFB__PDGFRB__PDGFRB_ ; cyt_prot_PDGFB__PDGFRB__PDGFRB_	1.00E+00								
vRP2_24	Deterministic	Cytoplasm	cyt_prot_p_FGF__FGFR__FGF__FGFR_ ; cyt_prot_FGF__FGFR__FGF__FGFR_	1.00E+00								
vRP2_25	Deterministic	Cytoplasm	cyt_prot_pFGF__FGFR__FGFR_ ; cyt_prot_FGF__FGFR__FGFR_	1.00E+00								
vRP2_26	Deterministic	Cytoplasm	cyt_prot_p_IGF__IGF1R__IGF1R_ ; cyt_prot_IGF__IGF1R__IGF1R_	1.00E+00								
vRP2_27	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR_ ; cyt_prot_INS__INSR__INSR_	1.00E+00								
vRP2_28	Deterministic	Cytoplasm	cyt_prot_p_IGF__IGF1R__IGF1R__IGF_ ; cyt_prot_IGF__IGF1R__IGF__IGF1R_	1.00E+00								
vRP2_29	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR__INS_ ; cyt_prot_INS__INSR__INS__INSR_	1.00E+00								
vRP3_1	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__ERBB2_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGF__EGFR__ERBB2_	1.00E-03								
vRP3_2	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__EGFRvIII_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGF__EGFR__EGFRvIII_	1.00E-03								
vRP3_3	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__EGFR_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGF__EGFR__EGFR_	1.00E-03								
vRP3_4	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__EGF__EGFR_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGF__EGFR__EGF__EGFR_	1.00E-03								
vRP3_5	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__ERBB3_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGF__EGFR__ERBB3_	1.00E-03								
vRP3_6	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__NRG1__ERBB3_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGF__EGFR__NRG1__ERBB3_	1.00E-03								
vRP3_7	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__ERBB4_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGF__EGFR__ERBB4_	1.00E-03								
vRP3_8	Deterministic	Cytoplasm	cyt_prot_EGF__EGFR__NRG1__ERBB4_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGF__ERBB2__NRG1__ERBB3_	1.00E-03								
vRP3_9	Deterministic	Cytoplasm	cyt_prot_ERBB2__NRG1__ERBB3_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__ERBB2__NRG1__ERBB3_	1.00E-03								
vRP3_10	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB3__EGFRvIII_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__NRG1__ERBB3__EGFRvIII_	1.00E-03								
vRP3_11	Deterministic	Cytoplasm	cyt_prot_EGFR__NRG1__ERBB3_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGFR__NRG1__ERBB3_	1.00E-03								
vRP3_12	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB3__ERBB4_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__NRG1__ERBB3__ERBB4_	1.00E-03								
vRP3_13	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB3__NRG1__ERBB4_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__NRG1__ERBB3__NRG1__ERBB4_	1.00E-03								
vRP3_14	Deterministic	Cytoplasm	cyt_prot_ERBB2__NRG1__ERBB4_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__ERBB2__NRG1__ERBB4_	1.00E-03								
vRP3_15	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB4__EGFRvIII_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__NRG1__ERBB4__EGFRvIII_	1.00E-03								
vRP3_16	Deterministic	Cytoplasm	cyt_prot_EGFR__NRG1__ERBB4_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__EGFR__NRG1__ERBB4_	1.00E-03								
vRP3_17	Deterministic	Cytoplasm	cyt_prot_ERBB3__NRG1__ERBB4_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__ERBB3__NRG1__ERBB4_	1.00E-03								
vRP3_18	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB4__ERBB4_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__NRG1__ERBB4__ERBB4_	1.00E-03								
vRP3_19	Deterministic	Cytoplasm	cyt_prot_NRG1__ERBB4__NRG1__ERBB4_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__NRG1__ERBB4__NRG1__NRG4_	1.00E-03								
vRP3_20	Deterministic	Cytoplasm	cyt_prot_HGF__MET__MET_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__HGF__MET__MET_	1.00E-03								
vRP3_21	Deterministic	Cytoplasm	cyt_prot_HGF__MET__HGF__MET_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__HGF__MET__HGF__MET_	1.00E-03								
vRP3_22	Deterministic	Cytoplasm	cyt_prot_PDGFB__PDGFRB__PDGFB__PDGFRB_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__PDGFB__PDGFRB__PDGFB__PDGFRB_	1.00E-03								
vRP3_23	Deterministic	Cytoplasm	cyt_prot_PDGFB__PDGFRB__PDGFRB_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__PDGFB__PDGFRB__PDGFRB_	1.00E-03								
vRP3_24	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR__FGF__FGFR_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__FGF__FGFR__FGF__FGFR_	1.00E-03								
vRP3_25	Deterministic	Cytoplasm	cyt_prot_FGF__FGFR__FGFR_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__FGF__FGFR__FGFR_	1.00E-03								
vRP3_26	Deterministic	Cytoplasm	cyt_prot_IGF__IGF1R__IGF1R_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__IGF__IGF1R__IGF1R_	1.00E-03								
vRP3_27	Deterministic	Cytoplasm	cyt_prot_INS__INSR__INSR_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__INS__INSR__INSR_	1.00E-03								
vRP3_28	Deterministic	Cytoplasm	cyt_prot_IGF__IGF1R__IGF__IGF1R_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__IGF__IGF1R__IGF1R__IGF_	1.00E-03								
vRP3_29	Deterministic	Cytoplasm	cyt_prot_INS__INSR__INS__INSR_ + cyt_prot_SPRY2_ ; cyt_prot_SPRY2__INS__INSR__INSR__INS_	1.00E-03								
vRP4_1	Deterministic	Cytoplasm	cyt_prot_SPRY2__EGF__EGFR__ERBB2_ ; cyt_prot_EGF__EGFR__ERBB2_ + cyt_prot_SPRY2_	1.00E-03								
vRP4_2	Deterministic	Cytoplasm	cyt_prot_SPRY2__EGF__EGFR__EGFRvIII_ ; cyt_prot_EGF__EGFR__EGFRvIII_ + cyt_prot_SPRY2_	1.00E-03								
