reactionId	solver	compartment	r ; p	ratelaw
vRP11_8	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB4__GRB2__SOS1_	kRP11_8_1*cyt_prot_p_EGF__EGFR__NRG1__ERBB4_*cyt_prot_GRB2__SOS1_
vRP11_9	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB3_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_ERBB2__NRG1__ERBB3__GRB2__SOS1_	kRP11_9_1*cyt_prot_p_ERBB2__NRG1__ERBB3_*cyt_prot_GRB2__SOS1_
vRP11_10	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__EGFRvIII_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB3__EGFRvIII__GRB2__SOS1_	kRP11_10_1*cyt_prot_p_NRG1__ERBB3__EGFRvIII_*cyt_prot_GRB2__SOS1_
vRP11_11	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB3_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_EGFR__NRG1__ERBB3__GRB2__SOS1_	kRP11_11_1*cyt_prot_p_EGFR__NRG1__ERBB3_*cyt_prot_GRB2__SOS1_
vRP11_12	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__ERBB4_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB3__ERBB4__GRB2__SOS1_	kRP11_12_1*cyt_prot_p_NRG1__ERBB3__ERBB4_*cyt_prot_GRB2__SOS1_
vRP11_13	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4__GRB2__SOS1_	kRP11_13_1*cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4_*cyt_prot_GRB2__SOS1_
vRP11_14	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_ERBB2__NRG1__ERBB4__GRB2__SOS1_	kRP11_14_1*cyt_prot_p_ERBB2__NRG1__ERBB4_*cyt_prot_GRB2__SOS1_
vRP11_15	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__EGFRvIII_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1_	kRP11_15_1*cyt_prot_p_NRG1__ERBB4__EGFRvIII_*cyt_prot_GRB2__SOS1_
vRP11_16	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_EGFR__NRG1__ERBB4__GRB2__SOS1_	kRP11_16_1*cyt_prot_p_EGFR__NRG1__ERBB4_*cyt_prot_GRB2__SOS1_
vRP11_17	Deterministic	Cytoplasm	cyt_prot_p_ERBB3__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_ERBB3__NRG1__ERBB4__GRB2__SOS1_	kRP11_17_1*cyt_prot_p_ERBB3__NRG1__ERBB4_*cyt_prot_GRB2__SOS1_
vRP11_18	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__ERBB4_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB4__ERBB4__GRB2__SOS1_	kRP11_18_1*cyt_prot_p_NRG1__ERBB4__ERBB4_*cyt_prot_GRB2__SOS1_
vRP11_19	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4__GRB2__SOS1_	kRP11_19_1*cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4_*cyt_prot_GRB2__SOS1_
vRP11_20	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__MET_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_HGF__MET__MET__GRB2__SOS1_	kRP11_20_1*cyt_prot_p_HGF__MET__MET_*cyt_prot_GRB2__SOS1_
vRP11_21	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__HGF__MET_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_HGF__MET__HGF__MET__GRB2__SOS1_	kRP11_21_1*cyt_prot_p_HGF__MET__HGF__MET_*cyt_prot_GRB2__SOS1_
vRP11_22	Deterministic	Cytoplasm	cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFB_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB__GRB2__SOS1_	kRP11_22_1*cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFB_*cyt_prot_GRB2__SOS1_
vRP11_23	Deterministic	Cytoplasm	cyt_prot_p_PDGFB__PDGFRB__PDGFRB_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p__PDGFB__PDGFRB__PDGFRB__GRB2__SOS1_	kRP11_23_1*cyt_prot_p_PDGFB__PDGFRB__PDGFRB_*cyt_prot_GRB2__SOS1_
vRP11_24	Deterministic	Cytoplasm	cyt_prot_p_FGF__FGFR__FGF__FGFR_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_FGF__FGFR__FGF__FGFR__GRB2__SOS1_	kRP11_24_1*cyt_prot_p_FGF__FGFR__FGF__FGFR_*cyt_prot_GRB2__SOS1_
vRP11_25	Deterministic	Cytoplasm	cyt_prot_pFGF__FGFR__FGFR_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_FGF__FGFR__FGFR__GRB2__SOS1_	kRP11_25_1*cyt_prot_pFGF__FGFR__FGFR_*cyt_prot_GRB2__SOS1_
vRP11_26	Deterministic	Cytoplasm	cyt_prot_p_IGF__IGF1R__IGF1R__IRS_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IRS__GRB2__SOS1_	kRP11_26_1*cyt_prot_p_IGF__IGF1R__IGF1R__IRS_*cyt_prot_GRB2__SOS1_
vRP11_27	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR__IRS_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_INS__INSR__INSR__IRS__GRB2__SOS1_	kRP11_27_1*cyt_prot_p_INS__INSR__INSR__IRS_*cyt_prot_GRB2__SOS1_
vRP11_28	Deterministic	Cytoplasm	cyt_prot_p_INS__IGF__IGF1R__IGF1R__IGF__IRS_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS__GRB2__SOS1_	kRP11_28_1*cyt_prot_p_INS__IGF__IGF1R__IGF1R__IGF__IRS_*cyt_prot_GRB2__SOS1_
vRP11_29	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR__INS__IRS_ + cyt_prot_GRB2__SOS1_ ; cyt_prot_p_INS__INSR__INSR__INS__IRS__GRB2__SOS1_	kRP11_29_1*cyt_prot_p_INS__INSR__INSR__INS__IRS_*cyt_prot_GRB2__SOS1_
vRP12_1	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB2__GRB2__SOS1_ ; cyt_prot_p_EGF__EGFR__ERBB2_ + cyt_prot_GRB2__SOS1_	kRP12_1_1*cyt_prot_p_EGF__EGFR__ERBB2__GRB2__SOS1_
vRP12_2	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFRvIII__GRB2__SOS1_ ; cyt_prot_p_EGF__EGFR__EGFRvIII_ + cyt_prot_GRB2__SOS1_	kRP12_2_1*cyt_prot_p_EGF__EGFR__EGFRvIII__GRB2__SOS1_
vRP12_3	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFR__GRB2__SOS1_ ; cyt_prot_p_EGF__EGFR__EGFR_ + cyt_prot_GRB2__SOS1_	kRP12_3_1*cyt_prot_p_EGF__EGFR__EGFR__GRB2__SOS1_
vRP12_4	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGF__EGFR__GRB2__SOS1_ ; cyt_prot_p_EGF__EGFR__EGF__EGFR_ + cyt_prot_GRB2__SOS1_	kRP12_4_1*cyt_prot_p_EGF__EGFR__EGF__EGFR__GRB2__SOS1_
vRP12_5	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB3__GRB2__SOS1_ ; cyt_prot_p_EGF__EGFR__ERBB3_ + cyt_prot_GRB2__SOS1_	kRP12_5_1*cyt_prot_p_EGF__EGFR__ERBB3__GRB2__SOS1_
vRP12_6	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB3__GRB2__SOS1_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB3_ + cyt_prot_GRB2__SOS1_	kRP12_6_1*cyt_prot_p_EGF__EGFR__NRG1__ERBB3__GRB2__SOS1_
vRP12_7	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB4__GRB2__SOS1_ ; cyt_prot_p_EGF__EGFR__ERBB4_ + cyt_prot_GRB2__SOS1_	kRP12_7_1*cyt_prot_p_EGF__EGFR__ERBB4__GRB2__SOS1_
vRP12_8	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB4__GRB2__SOS1_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_	kRP12_8_1*cyt_prot_p_EGF__EGFR__NRG1__ERBB4__GRB2__SOS1_
vRP12_9	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB3__GRB2__SOS1_ ; cyt_prot_p_ERBB2__NRG1__ERBB3_ + cyt_prot_GRB2__SOS1_	kRP12_9_1*cyt_prot_p_ERBB2__NRG1__ERBB3__GRB2__SOS1_
vRP12_10	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__EGFRvIII__GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB3__EGFRvIII_ + cyt_prot_GRB2__SOS1_	kRP12_10_1*cyt_prot_p_NRG1__ERBB3__EGFRvIII__GRB2__SOS1_
vRP12_11	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB3__GRB2__SOS1_ ; cyt_prot_p_EGFR__NRG1__ERBB3_ + cyt_prot_GRB2__SOS1_	kRP12_11_1*cyt_prot_p_EGFR__NRG1__ERBB3__GRB2__SOS1_
vRP12_12	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__ERBB4__GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB3__ERBB4_ + cyt_prot_GRB2__SOS1_	kRP12_12_1*cyt_prot_p_NRG1__ERBB3__ERBB4__GRB2__SOS1_
vRP12_13	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4__GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_	kRP12_13_1*cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4__GRB2__SOS1_
vRP12_14	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB4__GRB2__SOS1_ ; cyt_prot_p_ERBB2__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_	kRP12_14_1*cyt_prot_p_ERBB2__NRG1__ERBB4__GRB2__SOS1_
vRP12_15	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB4__EGFRvIII_ + cyt_prot_GRB2__SOS1_	kRP12_15_1*cyt_prot_p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1_
vRP12_16	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB4__GRB2__SOS1_ ; cyt_prot_p_EGFR__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_	kRP12_16_1*cyt_prot_p_EGFR__NRG1__ERBB4__GRB2__SOS1_
vRP12_17	Deterministic	Cytoplasm	cyt_prot_p_ERBB3__NRG1__ERBB4__GRB2__SOS1_ ; cyt_prot_p_ERBB3__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_	kRP12_17_1*cyt_prot_p_ERBB3__NRG1__ERBB4__GRB2__SOS1_
vRP12_18	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__ERBB4__GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB4__ERBB4_ + cyt_prot_GRB2__SOS1_	kRP12_18_1*cyt_prot_p_NRG1__ERBB4__ERBB4__GRB2__SOS1_
vRP12_19	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4__GRB2__SOS1_ ; cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4_ + cyt_prot_GRB2__SOS1_	kRP12_19_1*cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4__GRB2__SOS1_
vRP12_20	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__MET__GRB2__SOS1_ ; cyt_prot_p_HGF__MET__MET_ + cyt_prot_GRB2__SOS1_	kRP12_20_1*cyt_prot_p_HGF__MET__MET__GRB2__SOS1_
vRP12_21	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__HGF__MET__GRB2__SOS1_ ; cyt_prot_p_HGF__MET__HGF__MET_ + cyt_prot_GRB2__SOS1_	kRP12_21_1*cyt_prot_p_HGF__MET__HGF__MET__GRB2__SOS1_
vRP12_22	Deterministic	Cytoplasm	cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB__GRB2__SOS1_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFB_ + cyt_prot_GRB2__SOS1_	kRP12_22_1*cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB__GRB2__SOS1_
vRP12_23	Deterministic	Cytoplasm	cyt_prot_p__PDGFB__PDGFRB__PDGFRB__GRB2__SOS1_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFRB_ + cyt_prot_GRB2__SOS1_	kRP12_23_1*cyt_prot_p__PDGFB__PDGFRB__PDGFRB__GRB2__SOS1_
vRP12_24	Deterministic	Cytoplasm	cyt_prot_p_FGF__FGFR__FGF__FGFR__GRB2__SOS1_ ; cyt_prot_p_FGF__FGFR__FGF__FGFR_ + cyt_prot_GRB2__SOS1_	kRP12_24_1*cyt_prot_p_FGF__FGFR__FGF__FGFR__GRB2__SOS1_
vRP12_25	Deterministic	Cytoplasm	cyt_prot_p_FGF__FGFR__FGFR__GRB2__SOS1_ ; cyt_prot_pFGF__FGFR__FGFR_ + cyt_prot_GRB2__SOS1_	kRP12_25_1*cyt_prot_p_FGF__FGFR__FGFR__GRB2__SOS1_
vRP12_26	Deterministic	Cytoplasm	cyt_prot_p_IGF__IGF1R__IGF1R__IRS__GRB2__SOS1_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IRS_ + cyt_prot_GRB2__SOS1_	kRP12_26_1*cyt_prot_p_IGF__IGF1R__IGF1R__IRS__GRB2__SOS1_
vRP12_27	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR__IRS__GRB2__SOS1_ ; cyt_prot_p_INS__INSR__INSR__IRS_ + cyt_prot_GRB2__SOS1_	kRP12_27_1*cyt_prot_p_INS__INSR__INSR__IRS__GRB2__SOS1_
vRP12_28	Deterministic	Cytoplasm	cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS__GRB2__SOS1_ ; cyt_prot_p_INS__IGF__IGF1R__IGF1R__IGF__IRS_ + cyt_prot_GRB2__SOS1_	kRP12_28_1*cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS__GRB2__SOS1_
vRP12_29	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR__INS__IRS__GRB2__SOS1_ ; cyt_prot_p_INS__INSR__INSR__INS__IRS_ + cyt_prot_GRB2__SOS1_	kRP12_29_1*cyt_prot_p_INS__INSR__INSR__INS__IRS__GRB2__SOS1_
vRP13_1	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB2_ + cyt_prot_PLCG_ ; cyt_prot_p_EGF__EGFR__ERBB2__PLCG_	kRP13_1_1*cyt_prot_p_EGF__EGFR__ERBB2_*cyt_prot_PLCG_
vRP13_2	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFRvIII_ + cyt_prot_PLCG_ ; cyt_prot_p_EGF__EGFR__EGFRvIII__PLCG_	kRP13_2_1*cyt_prot_p_EGF__EGFR__EGFRvIII_*cyt_prot_PLCG_
vRP13_3	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFR_ + cyt_prot_PLCG_ ; cyt_prot_p_EGF__EGFR__EGFR__PLCG_	kRP13_3_1*cyt_prot_p_EGF__EGFR__EGFR_*cyt_prot_PLCG_
vRP13_4	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGF__EGFR_ + cyt_prot_PLCG_ ; cyt_prot_p_EGF__EGFR__EGF__EGFR_PLCG_	kRP13_4_1*cyt_prot_p_EGF__EGFR__EGF__EGFR_*cyt_prot_PLCG_
vRP13_5	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB3_ + cyt_prot_PLCG_ ; cyt_prot_p_EGF__EGFR__ERBB3__PLCG_	kRP13_5_1*cyt_prot_p_EGF__EGFR__ERBB3_*cyt_prot_PLCG_
vRP13_6	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB3_ + cyt_prot_PLCG_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB3__PLCG_	kRP13_6_1*cyt_prot_p_EGF__EGFR__NRG1__ERBB3_*cyt_prot_PLCG_
vRP13_7	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB4_ + cyt_prot_PLCG_ ; cyt_prot_p_EGF__EGFR__ERBB4__PLCG_	kRP13_7_1*cyt_prot_p_EGF__EGFR__ERBB4_*cyt_prot_PLCG_
vRP13_8	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB4_ + cyt_prot_PLCG_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB4__PLCG_	kRP13_8_1*cyt_prot_p_EGF__EGFR__NRG1__ERBB4_*cyt_prot_PLCG_
vRP13_9	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB3_ + cyt_prot_PLCG_ ; cyt_prot_p_ERBB2__NRG1__ERBB3__PLCG_	kRP13_9_1*cyt_prot_p_ERBB2__NRG1__ERBB3_*cyt_prot_PLCG_
vRP13_10	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__EGFRvIII_ + cyt_prot_PLCG_ ; cyt_prot_p_NRG1__ERBB3__EGFRvIII__PLCG_	kRP13_10_1*cyt_prot_p_NRG1__ERBB3__EGFRvIII_*cyt_prot_PLCG_
vRP13_11	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB3_ + cyt_prot_PLCG_ ; cyt_prot_p_EGFR__NRG1__ERBB3__PLCG_	kRP13_11_1*cyt_prot_p_EGFR__NRG1__ERBB3_*cyt_prot_PLCG_
vRP13_12	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__ERBB4_ + cyt_prot_PLCG_ ; cyt_prot_p_NRG1__ERBB3__ERBB4__PLCG_	kRP13_12_1*cyt_prot_p_NRG1__ERBB3__ERBB4_*cyt_prot_PLCG_
vRP13_13	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4_ + cyt_prot_PLCG_ ; cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4__PLCG_	kRP13_13_1*cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4_*cyt_prot_PLCG_
vRP13_14	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB4_ + cyt_prot_PLCG_ ; cyt_prot_p_ERBB2__NRG1__ERBB4__PLCG_	kRP13_14_1*cyt_prot_p_ERBB2__NRG1__ERBB4_*cyt_prot_PLCG_
vRP13_15	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__EGFRvIII_ + cyt_prot_PLCG_ ; cyt_prot_p_NRG1__ERBB4__EGFRvIII__PLCG_	kRP13_15_1*cyt_prot_p_NRG1__ERBB4__EGFRvIII_*cyt_prot_PLCG_
vRP13_16	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB4_ + cyt_prot_PLCG_ ; cyt_prot_p_EGFR__NRG1__ERBB4__PLCG_	kRP13_16_1*cyt_prot_p_EGFR__NRG1__ERBB4_*cyt_prot_PLCG_
vRP13_17	Deterministic	Cytoplasm	cyt_prot_p_ERBB3__NRG1__ERBB4_ + cyt_prot_PLCG_ ; cyt_prot_p_ERBB3__NRG1__ERBB4__PLCG_	kRP13_17_1*cyt_prot_p_ERBB3__NRG1__ERBB4_*cyt_prot_PLCG_
vRP13_18	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__ERBB4_ + cyt_prot_PLCG_ ; cyt_prot_p_NRG1__ERBB4__ERBB4__PLCG_	kRP13_18_1*cyt_prot_p_NRG1__ERBB4__ERBB4_*cyt_prot_PLCG_
vRP13_19	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4_ + cyt_prot_PLCG_ ; cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4__PLCG_	kRP13_19_1*cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4_*cyt_prot_PLCG_
vRP13_20	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__MET_ + cyt_prot_PLCG_ ; cyt_prot_p_HGF__MET__MET__PLCG_	kRP13_20_1*cyt_prot_p_HGF__MET__MET_*cyt_prot_PLCG_
vRP13_21	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__HGF__MET_ + cyt_prot_PLCG_ ; cyt_prot_p_HGF__MET__HGF__MET__PLCG_	kRP13_21_1*cyt_prot_p_HGF__MET__HGF__MET_*cyt_prot_PLCG_
vRP13_22	Deterministic	Cytoplasm	cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFB_ + cyt_prot_PLCG_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB__PLCG_	kRP13_22_1*cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFB_*cyt_prot_PLCG_
vRP13_23	Deterministic	Cytoplasm	cyt_prot_p_PDGFB__PDGFRB__PDGFRB_ + cyt_prot_PLCG_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFRB__PLCG_	kRP13_23_1*cyt_prot_p_PDGFB__PDGFRB__PDGFRB_*cyt_prot_PLCG_
vRP13_24	Deterministic	Cytoplasm	cyt_prot_p_FGF__FGFR__FGF__FGFR_ + cyt_prot_PLCG_ ; cyt_prot_p_FGF__FGFR__FGF__FGFR__PLCG_	kRP13_24_1*cyt_prot_p_FGF__FGFR__FGF__FGFR_*cyt_prot_PLCG_
vRP13_25	Deterministic	Cytoplasm	cyt_prot_pFGF__FGFR__FGFR_ + cyt_prot_PLCG_ ; cyt_prot_p_FGF__FGFR__FGFR__PLCG_	kRP13_25_1*cyt_prot_pFGF__FGFR__FGFR_*cyt_prot_PLCG_
vRP13_26	Deterministic	Cytoplasm	cyt_prot_p_IGF__IGF1R__IGF1R__IRS_ + cyt_prot_PLCG_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IRS__PLCG_	kRP13_26_1*cyt_prot_p_IGF__IGF1R__IGF1R__IRS_*cyt_prot_PLCG_
vRP13_27	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR__IRS_ + cyt_prot_PLCG_ ; cyt_prot_p_INS__INSR__INSR__IRS__PLCG_	kRP13_27_1*cyt_prot_p_INS__INSR__INSR__IRS_*cyt_prot_PLCG_
vRP13_28	Deterministic	Cytoplasm	cyt_prot_p_INS__IGF__IGF1R__IGF1R__IGF__IRS_ + cyt_prot_PLCG_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS__PLCG_	kRP13_28_1*cyt_prot_p_INS__IGF__IGF1R__IGF1R__IGF__IRS_*cyt_prot_PLCG_
vRP13_29	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR__INS__IRS_ + cyt_prot_PLCG_ ; cyt_prot_p_INS__INSR__INSR__INS__IRS__PLCG_	kRP13_29_1*cyt_prot_p_INS__INSR__INSR__INS__IRS_*cyt_prot_PLCG_
vRP14_1	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB2__PLCG_ ; cyt_prot_p_EGF__EGFR__ERBB2_ + cyt_prot_PLCG_	kRP14_1_1*cyt_prot_p_EGF__EGFR__ERBB2__PLCG_
vRP14_2	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFRvIII__PLCG_ ; cyt_prot_p_EGF__EGFR__EGFRvIII_ + cyt_prot_PLCG_	kRP14_2_1*cyt_prot_p_EGF__EGFR__EGFRvIII__PLCG_
vRP14_3	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFR__PLCG_ ; cyt_prot_p_EGF__EGFR__EGFR_ + cyt_prot_PLCG_	kRP14_3_1*cyt_prot_p_EGF__EGFR__EGFR__PLCG_
vRP14_4	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGF__EGFR_PLCG_ ; cyt_prot_p_EGF__EGFR__EGF__EGFR_ + cyt_prot_PLCG_	kRP14_4_1*cyt_prot_p_EGF__EGFR__EGF__EGFR_PLCG_
vRP14_5	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB3__PLCG_ ; cyt_prot_p_EGF__EGFR__ERBB3_ + cyt_prot_PLCG_	kRP14_5_1*cyt_prot_p_EGF__EGFR__ERBB3__PLCG_
vRP14_6	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB3__PLCG_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB3_ + cyt_prot_PLCG_	kRP14_6_1*cyt_prot_p_EGF__EGFR__NRG1__ERBB3__PLCG_
vRP14_7	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB4__PLCG_ ; cyt_prot_p_EGF__EGFR__ERBB4_ + cyt_prot_PLCG_	kRP14_7_1*cyt_prot_p_EGF__EGFR__ERBB4__PLCG_
vRP14_8	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB4__PLCG_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB4_ + cyt_prot_PLCG_	kRP14_8_1*cyt_prot_p_EGF__EGFR__NRG1__ERBB4__PLCG_
vRP14_9	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB3__PLCG_ ; cyt_prot_p_ERBB2__NRG1__ERBB3_ + cyt_prot_PLCG_	kRP14_9_1*cyt_prot_p_ERBB2__NRG1__ERBB3__PLCG_
vRP14_10	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__EGFRvIII__PLCG_ ; cyt_prot_p_NRG1__ERBB3__EGFRvIII_ + cyt_prot_PLCG_	kRP14_10_1*cyt_prot_p_NRG1__ERBB3__EGFRvIII__PLCG_
vRP14_11	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB3__PLCG_ ; cyt_prot_p_EGFR__NRG1__ERBB3_ + cyt_prot_PLCG_	kRP14_11_1*cyt_prot_p_EGFR__NRG1__ERBB3__PLCG_
vRP14_12	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__ERBB4__PLCG_ ; cyt_prot_p_NRG1__ERBB3__ERBB4_ + cyt_prot_PLCG_	kRP14_12_1*cyt_prot_p_NRG1__ERBB3__ERBB4__PLCG_
